word,glor.txt,lstb.txt,empt.txt,mems.txt,retn.txt,norw.txt,blac.txt,3gar.txt,spec.txt,danc.txt,blue.txt,bosc.txt,reti.txt,gree.txt,cano.txt,sign.txt,3gab.txt,shos.txt,bery.txt,soli.txt,cree.txt,resi.txt,reig.txt,prio.txt,card.txt,bruc.txt,nobl.txt,redc.txt,seco.txt,vall.txt,stoc.txt,iden.txt,lion.txt,copp.txt,nava.txt,sixn.txt,case.txt,3stu.txt,chas.txt,redh.txt,miss.txt,advs.txt,abbe.txt,twis.txt,wist.txt,cnus.txt,engr.txt,suss.txt,stud.txt,silv.txt,gold.txt,scan.txt,maza.txt,dyin.txt,lady.txt,devi.txt,croo.txt,houn.txt,musg.txt,illu.txt,five.txt,yell.txt,blan.txt,fina.txt,last.txt,thor.txt,veil.txt
rascal,0,1,0,0,10,0,0,1,0,2,0,0,2,0,20,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,6,2,0,0,1,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,1,0,0
pistoling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
tore,0,5,0,4,7,0,0,1,0,0,0,0,2,1,30,0,0,1,1,1,1,0,1,1,1,1,0,0,2,0,0,0,0,0,0,0,6,0,0,0,2,5,0,1,0,24,0,0,1,0,1,3,0,0,2,0,0,2,1,0,0,0,1,1,1,0,0
solitary,0,2,0,0,5,0,0,0,0,0,0,0,1,0,17,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,15,0,0,5,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0
limbs,0,4,0,1,1,0,0,0,2,0,0,1,0,0,25,2,0,0,0,0,0,1,0,0,0,0,1,0,0,4,0,0,1,1,0,0,2,0,0,1,0,7,1,0,1,23,0,1,3,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0
derive,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
overhaul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
thumb,1,2,0,3,13,11,0,0,1,2,1,0,0,0,40,2,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,2,0,1,0,0,1,0,0,0,0,17,0,1,1,39,10,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
treachery,0,0,0,2,1,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
torn,0,4,1,9,4,0,1,0,0,1,0,0,0,0,35,2,2,0,1,0,1,0,6,0,0,0,0,1,0,3,0,1,1,0,1,0,7,0,0,0,0,4,1,0,2,28,1,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,2,0,0,3
