Character, UniqueWords
Japanese Pilot,1
Sniper,1
Bobo,50
Male Aide,5
CNN Reporter,67
City Wok Owner,43
Police Chief,77
Kelly Rutherfordmenskin,1
A singer,6
Members,16
Thad,23
Figure 1,26
Instructor,115
Siimon,4
Crab People,2
Benjamin,2
Harrison Moore,128
Xerxes,83
Johnson,76
New Yorker 1,1
Barkley,18
Gingers,41
DC Crew,3
Blonde Nurse,10
Blonde Protester,11
Profile Stan Marsh,66
Nichole,157
Landlord,11
Fingerbang,29
Sgt. Yates,370
Hansen,200
Rescuer,13
Constance,9
Canadian 3,1
Canadian 2,4
Stephen, Butters,8
Headless Horseman,7
Someone in the crowd,1
P.F. Pityef,185
Alien,241
Chris Swollenballs,82
Black Officer,11
Elderly Driver,32
Band Member 1,37
Band Member 2,22
Band Member 3,5
Death,4
Guest,39
Skyler,307
Jessie,28
Netzel,157
Bob Dole,24
Maitre D,53
Electronic Head,15
Pearl,184
Confederate 2,14
Alex Spanos,16
Soldier 6,15
Paul Stanley,39
Old Folks,2
Elderly Tree Hugger,5
Leader,206
Riley,45
Skier,2
Boy in Green Shirt,64
Kyle's Side,1
Assembly,1
Man in briefs,8
Dream Estella,9
Canadian 1,7
Protestor #5,12
Protestor #4,2
Protestor #3,30
Protestor #2,8
Protestor #1,7
Voice-over,117
Dentist,81
Boat Ride Singers,21
Reporters,4
Dora,14
Great-Great-Grampa,56
Soldier 7,2
Princess,31
Gnomes,7
Anchorman 2,19
Angel 12,6
Angel 10,4
Angel 11,10
Madman,17
Mosquito,155
Phil,239
Together,51
Muslim 2,12
Scientist 1,86
Kurt Russell,91
Scientist 3,7
Scientist 2,86
Scientist 5,6
Scientist 4,4
